Sl.No.,State/UT,FC Received during the FY 2019-20 - (in Crore Rs.),FC received during the FY 2020-21 - (in Crore Rs.),FC received during the FY 2021-22 - (in Crore Rs.)
1,Andaman and Nicobar Islands,2.52,3.68,2.49
2,Andhra Pradesh,1017.15,954.57,950.09
3,Arunachal Pradesh,12.57,21.71,27.5
4,Assam,162.48,165.18,197.53
5,Bihar,226.08,217.37,229.96
6,Chandigarh,39.19,19.15,20.08
7,Chhattisgarh,48.39,52.13,71.76
8,Dadra and Nagar Haveli,4.12,2.43,2.42
9,Delhi,4250.69,3904.53,5802.62
10,Goa,34.58,43.85,55.19
11,Gujarat,763.52,904.45,1495.71
12,Haryana,82.09,68.89,106.71
13,Himachal Pradesh,228.61,215.96,233.39
14,Jammu and Kashmir,49.85,55.93,55.76
15,Jharkhand,130.72,130.31,162.6
16,Karnataka,1792.83,2291.33,3140.73
17,Kerala,867.83,913.21,974.08
18,Madhya Pradesh,220.06,242.63,268.31
19,Maharashtra,1549.57,1826.95,2178.85
20,Manipur,35.35,50.97,60.08
21,Meghalaya,59.64,67.56,78.35
22,Mizoram,2.63,2.67,15.05
23,Nagaland,48.94,46.67,57.18
24,Orissa,289.87,249.98,288.02
25,Pondicherry,27.37,29.34,25.63
26,Punjab,171.11,140.83,207.29
27,Rajasthan,158.39,179.23,285.09
28,Sikkim,9.04,6.51,7.46
29,Tamil Nadu,2162.43,2134.06,2507.23
30,Telangana,623.75,815.45,1114.44
31,Tripura,10.74,11.63,12.37
32,Uttar Pradesh,372.69,361.84,375.39
33,Uttarakhand,124.08,129.46,170.24
34,West Bengal,727.16,798.18,905.5
